"Akibatnya , perlakuan mengenai hak atas bunga tabungan tersebut berbeda-beda antardaerah","Akibaté, perawatan hak kanggo kapentingan tabungan beda-beda ing antarane wilayah"
"Namun , tidak semua pelaksana BOS mengetahui tentang aturan ini karena tidak disosialisasikan dengan baik","Nanging, ora kabeh implementasi BOS ngerti babagan aturan kasebut amarga ora nduweni sosialisasi"
"Karena kekurangpahaman sekolah , pembayaran pajak yang dilakukan sekolah berbedabeda","Amarga kekurangan pangerten sekolah, pembayaran pajak sing digawe dening sekolah beda-beda"
Hal ini terjadi karena hampir semua sekolah belum mengetahui aturan dan tata cara pembayaran pajak,Iki kedadeyan amarga meh kabeh sekolah ora ngerti aturan lan prosedur kanggo mbayar pajak
"Di samping itu , banyak juga sekolah yang berupaya menghindari pembayaran pajak dengan menyiasati nilai atau kuitansi pembayaran","Kajaba iku, akeh sekolah uga nyoba supaya ora mbayar pajeg kanthi ngurusi nilai utawa kuitansi pembayaran"
Upaya tersebut memang cukup menguntungkan bagi sekolah,Upaya kuwi memang cukup kanggo sekolah
Dari setiap Rp1 juta sekolah bisa menyimpan Rp15.000,"Saka saben Rp1 yuta, sekolah bisa nyimpen Rp15.000"
"Di samping itu , sekolah juga dapat menghemat waktu , tenaga , dan biaya transportasi penyetoran pajak","Kajaba iku, sekolah uga bisa ngirit wektu, energi, lan biaya transportasi kanggo simpane pajak"
Hal-hal yang harus dilaporkan oleh pelaksana di tiap tingkatan adalah sebagai berikut,Bab-bab sing kudu dilapurake dening eksekutor ing saben tingkat kaya ing ngisor iki
"Laporan penanganan dan pengaduan masyarakat , serta laporan monitoring dan evaluasi akan didiskusikan di sub-bab 2.6","Laporan ing penanganan masyarakat lan keluhan, uga laporan pemantau lan evaluasi bakal dibahas ing bagean 2.6"
Subbab ini hanya membahas laporan penggunaan/pemanfaatan dana BOS,Bab iki mung mbahas laporan babagan pemanfaatan / pemanfaatan dana BOS
Laporan yang dibuat sekolah dikirim ke satker kabupaten/kota,Laporan sing digawe dening sekolah dikirim menyang satker kabupaten / kota
"Selanjutnya , satker kabupaten/kota membuat laporan pelaksanaan program untuk diserahkan ke satker provinsi","Salajengipun, laporan satker kabupaten / kota babagan implementasine program kasebut bakal dikirim menyang satria provinsi"
"Akhirnya , satker provinsi menyampaikan laporan ke Satker Pusat","Pungkasan, satria provinsi ngirimake laporan menyang Satker Pusat"
"Alur pelaporan di daerah-daerah sampel kajian ini agak bervariasi , dan secara umum disajikan di Gambar 2.4","Aliran pelaporan ing area sampel saka panliten iki beda-beda, lan sacara umum ditampilake ing Gambar 2.4"
Namun bentuk laporan yang diperoleh dari lembaga penyalur bervariasi antarprovinsi,"Nanging, wujud laporan saka lembaga penyaluran beda-beda antarane propinsi"
"Berkaitan dengan laporan penggunaan dana BOS , sekolah menyerahkan laporan ke satker kabupaten/kota","Ing babagan laporan babagan panggunaan dana BOS, sekolah ngirim laporan menyang satker kabupaten / kota"
"Di Provinsi Banten , selain UPTD , kantor pos kecamatan juga dapat berfungsi sebagai perantara penyampaian laporan tersebut","Ing Provinsi Banten, saliyane UPTD, kantor pos sub-distrik uga bisa dianggo minangka perantara kanggo ngirim laporan"
Satker kabupaten/kota seharusnya mengirimkan laporan-laporan ke satker provinsi,Satker kabupaten / kota ngirim ngirim laporan menyang satria provinsi
Selanjutnya satker provinsi menyusun laporan pelaksanaan program untuk dikirimkan ke Satker Pusat,Banjur satker provinsi nyiapake laporan babagan implementasine program sing dikirim menyang Satker Pusat
"Kanwil Depag juga menyusun laporan untuk diserahkan ke Departemen Agama , dan salinannya diserahkan ke satker provinsi","Kantor Wilayah Kementerian Agama uga nyiapake laporan sing kudu diajukake menyang Kementerian Agama, lan salinan kasebut dikirim menyang satker provinsi"
"Laporan tersebut harus dilengkapi RAPBS , fotokopi rekening , laporan buku kas , serta bukti-bukti pengeluaran yang sah","Laporan kasebut kudu rampung karo RAPBS, fotokopi akun, laporan buku awis, lan bukti sah saka pengeluaran"
"Untuk mempermudah sekolah membuat laporan , di dalam juklak tersedia contoh-contoh format laporan","Kanggo nggawe luwih gampang sekolah nggawe laporan, ana conto format laporan ing pedoman operasional"
Dengan adanya contohcontoh tersebut diharapkan sekolah tidak mengalami kesulitan dalam menyusun laporan,"Kanthi conto kasebut, dikarepake sekolah ora bakal nandhang kesulitan kanggo nyusun laporan"
"Di Jawa Timur , NTB , dan Banten , satker provinsi menetapkan bahwa sekolah harus membuat laporan triwulanan","Ing Jawa Wétan, NTB, lan Banten, satker provinsi nemtokake sekolah kudu nglaporake saben wulan"
"Oleh karena itu , di Jawa Timur misalnya , laporan dalam bentuk SPJ harus dibuat setiap bulan","Mulane, ing Jawa Timur, contone, laporan ing wangun SPJ kudu digawe saben sasi"
Kebijakan tentang waktu penyusunan laporan ini terkait dengan keterlambatan pengucuran dana di kedua provinsi tersebut,Kawicaksanan babagan wekdal nyepakaké laporan iki ana hubungane karo ditundha dana sing disbursing ing rong propinsi kasebut
"Menurut sebagian besar sekolah , membuat laporan rincian penggunaan dana per jenis anggaran cukup rumit dan menyita waktu","Miturut pira-pira sekolah, nglaporake babagan pemanfaatan dana saben jinis anggaran cukup rumit lan akeh wektu"
