"Manusia membutuhkan makanan dan air supaya menjadi kuat dan sehat, begitu juga tanaman","Manungsa butuh pangan lan banyu dadi kuwat lan sehat, supaya tetanduran"
Tanaman hijau menggunakan air untuk membuat makanannya,Tetanduran ijo nggunakake banyu kanggo nggawe panganan
Tanaman yang tidak mendapat air akan layu dan menjadi kering,Tanduran sing ora bisa banyu bakal garing lan garing
Keberhasilan belajar murid tidak hanya bergantung pada jumlah dan mutu guru yang memadai,Sukses sinau siswa ora mung gumantung marang nomer lan kualitas guru
"Namun, di sekolah yang jumlah dan mutu gurunya kurang, diduga potensi belajar murid akan sulit mencapai hasil maksimal","Nanging, ing sekolah-sekolah ing ngendi jumlah lan kualitas guru kurang, disangka sing potensial learning siswa bakal angel entuk asil maksimal"
Tabel 5.2 memperlihatkan hubungan antara hasil tes murid dengan tingkat keabsenan guru,Tabel 5.2 ngandharaken hubungan antawisipun asil tes siswa lan tingkat gunggung guru
Secara umum terdapat kecenderungan bahwa murid yang memperoleh nilai rendah berasal dari sekolah yang gurunya lebih banyak absen,Umumé ana kecenderungan para siswa sing entuk gelar sing kurang saka sekolah-sekolah sing ora ana guru
"Dalam kaitan itu, banyak orang tua murid tidak mempunyai cukup kemampuan untuk menjelaskan proses penalaran tersebut","Ing sambungan iki, akeh wong tuwa ora nduweni kemampuan kanggo njlentrehake proses penalaran"
Tabel 5.3 memperlihatkan lebih jauh pentingnya faktor guru di sekolah bagi keberhasilan transformasi pengetahuan kepada murid,Tabel 5.3 nuduhake luwih pentinge faktor guru ing sekolah kanggo transformasi pengetahuan sing apik kanggo siswa
"Masa kerja guru mempunyai korelasi positif dengan hasil tes matematika murid, tetapi tidak pada hasil tes bahasa","Wektu kerja guru nduweni korelasi positif karo asil tes matematika siswa, nanging ora ing asil tes basa"
"tetapi sampai batas tertentu, yaitu dengan rasio 25:1, ","nanging kanthi tingkat tertentu, yaiku kanthi perbandingan 25: 1,"
kenaikan angka rasionya mulai berkorelasi negatif terhadap nilai tes murid,Paningkatan saka jumlah rasio wiwit hubungane karo skor test siswa
Pekerjaan tambahan yang biasa dilakukan guru adalah mengajar di sekolah lain,Karya tambahan sing biasane ditindakake dening guru yaiku ngajar ing sekolah liyane
"Kegiatan seperti ini membuat guru lelah dan cenderung sering absen, akibatnya justru merusak mutu pendidikan di banyak sekolah","Kegiatan kaya iki ndadekake para guru lali lan cenderung absen, kanthi mangkono ngrusak kualitas pendidikan ing akeh sekolah"
Guru yang ditempatkan di sekolah tertentu harus bekerja penuh waktu di sekolah tersebut,Guru-guru sing diselehake ing sekolah-sekolah tartamtu kudu kerja ing sekolah
sementara latar belakang pendidikan bapak tidak berkorelasi secara signifikan dengan nilai tes anaknya,nalika latar mburi pendidikan bapak ora hubungan banget karo nilai test anak
Secara umum bimbingan terhadap anak di rumah memang lebih banyak dilakukan oleh ibu,"Umumé, pandhuan kanggo bocah-bocah ing omah pancen luwih ditindakake dening para ibu"
Sekolah yang memiliki lapangan bermain (olahraga) berkorelasi negatif dengan hasil tes murid,Sekolah sing duwe lapangan (olah raga) ana hubungane karo asil test pelajar
"Persoalan ini perlu dipelajari lebih lanjut, karena studi menunjukkan efek positif dari aktivitas fisik pada anak-anak","Masalah iki perlu diteliti luwih dhisik, amarga studi nuduhake efek positif saka aktivitas fisik ing bocah"
Survei tentang fenomena keabsenan guru di Indonesia masih jarang dilakukan secara nasional,Survei babagan fenomena guru absensi ing Indonesia isih jarang rampung sacara nasional
Survei ini dilakukan melalui dua kali kunjungan tanpa pemberitahuan ke sekolah sampel pada Oktober 2002 dan Maret 2003,Survei iki dilakokaké liwat rong kunjungan sing ora dikontrak kanggo sekolah sampel ing sasi Oktober 2002 lan Maret 2003
Jika ada guru yang absen dan tidak ada penggantinya maka kegiatan belajar mengajar di kelas akan terganggu,"Yen ana guru sing absen lan ora ana pengganti, kegiatan pengajaran lan pembelajaran ing kelas bakal diganggu"
"Negara dengan tingkat keabsenan terendah adalah Peru, yaitu sebesar 11%","Negara sing paling dhuwur ora ana ing Peru, yaiku 11%"
Angka keabsenan di setiap daerah memperlihatkan kisaran yang besar,Tingkat ora ana ing saben wilayah nuduhake jangkoan gedhe
Di balik gambaran tingkat keabsenan antardaerah tersebut ada dua catatan menarik,Ing ngisor katrangan saka tingkat antar negara ora ana rong cathetan menarik
"Kedua, bahwa tahap perkembangan kemajuan wilayah tidak jelas pengaruhnya terhadap tingkat keabsenan guru","Kapindho, yen tataran pangembangan ing kamajuan wilayah ora nduweni pengaruh sing jelas ing tingkat guru ora"
"Pulau Jawa sebagai wilayah yang paling berkembang di Indonesia diduga mempunyai keabsenan guru rendah, dalam realitasnya tidak","Jawa minangka wilayah sing paling maju ing Indonesia dianggep ora nduweni guru sing kurang, sajrone kenyataane ora"
Beberapa kesimpulan dari hasil analisis ini adalah,Sawetara kesimpulan saka asil analisis iki
Absennya guru kontrak/honorer diduga kuat terkait dengan rendahnya penghasilan mereka,Ketidakpuasan kontrak / guru kehormatan sanget gegayutan karo pendapatan sing kurang
"Bersamaan dengan itu, bagi guru yang berpendidikan rendah harus disediakan tranining lebih lanjut","Ing wektu sing padha, guru sing kurang pendidikan kudu diwenehi screening luwih lanjut"
Terdapat indikasi bahwa kelengkapan fasilitas fisik sekolah dapat mendukung kinerja guru,Ana indikasi yen kelengkapan fasilitas fisik sekolah bisa ndhukung kinerja guru
Survei ini memperlihatkan adanya tingkat keabsenan guru yang rendah bila sekolah memiliki toilet,Survei iki nuduhaké yèn gunggung guru ora kurang yen sekolah kudu jedhing
Hal yang sama juga terjadi bila setiap tingkat kelas memiliki ruang belajarnya sendiri,Ingkang kados makaten yen saben level kelas gadhah ruang belajar
Indikasi ini menyiratkan bahwa pembangunan dan pemeliharaan gedung sama sekali tidak boleh diabaikan,Indikasi kasebut mbuktekake yen bangunan lan pangopènan bangunan kasebut ora kudu diabaikan
Hal terakhir ini mengindikasikan perlunya kehadiran petugas pengawas di lingkungan kerja guru,Masalah pungkasan kasebut mbutuhake kawruh staf pengawas ing lingkungan kerja guru
Beberapa kesimpulan yang dapat ditarik dari hasil kalkulasi tersebut adalah,Sawetara kesimpulan sing bisa ditarik saka asil kalkulasi kasebut
Proses transformasi pada pengetahuan matematika memerlukan bimbingan yang lebih intensif dibanding pada pengetahuan bahasa,Proses transformasi ing pengetahuan matematika mbutuhake bimbingan sing luwih intensif tinimbang kawruh basa
"Pada dasarnya, guru melakukan pekerjaan tambahan karena adanya tuntutan kebutuhan untuk menambah penghasilan","Ing piwucalan kasebut, guru nindakake karya tambahan amarga dikarepake kanggo tambahan income"
Kami juga berterimakasih kepada teman-teman LSM yang telah bersedia membagi pengalamannya mengenai isu-isu pertanahan kepada kami,Kita uga matur nuwun marang kanca-kanca NGO sing wis mènèhi pangalaman babagan masalah tanah karo kita
Sebanyak 14 kabupaten/kota dipilih secara purposive untuk pengumpulan data,Sebanyak 14 kabupaten / kutha dipilih kanthi purposively kanggo pengumpulan data
"Secara keseluruhan, 1.596 responden dipilih secara acak dari desa/kelurahan tersebut","Secara sakabèhé, 1.596 responden dipilih kanthi acak saka desa / kelurahan"
Kelompok ketiga ini dimaksudkan sebagai Kelompok Kontrol,Grup katelu iki dimaksudaké minangka Group Kontrol
Meskipun demikian alasan paling umum yang dikemukakan kelompok non-peserta adalah karena pada saat itu tidak memiliki cukup uang,Nanging alesan sing paling umum ditemokake dening klompok non-pamilon amarga amarga wektu iku ora cukup dhuwit
"6 Mayoritas responden (89,7%) menyatakan tidak ada diskriminasi terhadap pemilik tanah perempuan selama proses PAP berlangsung",6 Mayoritas responden (89.7%) nyatakake yen ora ana diskriminasi marang wong tani wadon nalika proses PAP
"Nama suami dicantumkan sebanyak 70,9% kasus, sementara nama istri hanya 16,9%, dan 3% nama suami dan istri","Jeneng suami didaftar minangka 70,9% kasus, nalika jeneng bojo mung 16,9%, lan 3% jeneng bojo lan bojo"
Kecenderungan ini semakin besar di wilayah perkotaan dibandingkan di wilayah perdesaan,Tren iki luwih akeh ing wilayah kutha tinimbang ing wilayah pedesaan
Hal ini mengindikasikan bahwa pendaftaran tanah sistematik menyentuh semua lapisan masyarakat,Iki nuduhake yen pendaftaran lahan sistematis nyedhak kabeh tingkat masyarakat
"9 Dengan perluasan pendaftaran tanah melalui PAP, terjadi peningkatan kredit rata-rata 12,8% dengan agunan sertipikat PAP","9 Kanthi ekspansi pendaftaran tanah liwat PAP, ana peningkatan kredit kanthi rata-rata 12.8% kanthi tambahan sertifikat PAP"
"Peningkatan tertinggi terjadi di wilayah perdesaan (28,4%), diikuti wilayah semi-perkotaan (13,4%) dan perkotaan (2,5%)","Peningkatan paling dhuwur ing wilayah pedesaan (28,4%), diikuti dening wilayah semi-kutha (13,4%) lan perkotaan (2,5%)"
"10 Dampak sertipikasi PAP terhadap peningkatan/perbaikan tanah diperkirakan mencapai sekitar 5,3%","10 Dampak sertifikasi PAP babagan perbaikan / perbaikan tanah kira-kira 5,3%"
"Dampak tertinggi (12,3%) ditemui di wilayah perdesaan","Dampak paling dhuwur (12,3%) ditemokake ing wilayah deso"
"Sebagai perbandingan, peningkatan/perbaikan tanah baik di wilayah perkotaan maupun semi perkotaan sekitar 3,5%","Kajaba iku, perbaikan / perbaikan tanah ing wilayah kutha lan semi-kutha ana sekitar 3,5%"
"11 Sertipikasi tanah secara sistematik melalui PAP telah berdampak pada kenaikan 1,7% jumlah transaksi tanah di lokasi penelitian","11 Sertifikasi lahan miturut sistem liwat PAP wis ngasilake tambah 1,7% ing jumlah transaksi tanah ing situs iki"
Jenis tanah yang paling sering dijual adalah pekarangan/rumah diikuti oleh tanah non-irigasi,Jenis tanah sing paling kerep didol minangka omah / rumah sing diiringi tanah sing ora irigasi
"12 Menurut persepsi responden, dampak sertipikat PAP terhadap nilai/harga tanah rata-rata mencapai 64,5%","12 Miturut persepsi responden, dampak sertifikat PAP ing nilai / pratelan tanah rata-rata 64,5%"
"Kenaikan tertinggi (133,2%) terjadi di wilayah perkotaan","Tambah paling dhuwur (133,2%) ing wilayah kutha"
"Sementara itu di wilayah semi perkotaan 32,8% dan di perdesaan 64,6%","Sedaya wilayah semi perkotaan 32,8% lan dhaerah pedesaan 64,6%"
"13 Data survei memperlihatkan bahwa PAP menyebabkan PBB naik rata-rata 33,2%","13 Survey data nuduhake yen PAP nyebabake PBB mundhak kanthi rata-rata 33,2%"
Kenaikan tertinggi terjadi di wilayah perkotaan dan terendah di wilayah semi perkotaan,Peningkatan paling dhuwur dumadi ing wilayah kutha lan paling kurang ing wilayah semi-kutha
Di desa tidak ada peningkatan retribusi dan tidak ada pungutan baru karena adanya sertipikat PAP,Ing desa ora ana retribusi lan ora ana pungutan anyar amarga sertifikat PAP
14 Ada dua aspek tambahan dari dampak lebih luas sertipikasi PAP menurut beberapa informan kunci,14 Ana rong tambahan tambahan impact saka sertifikasi PAP miturut sawetara informan kunci
16 Sekitar 94% responden menyatakan bahwa biaya sertipikasi melalui PAP tidak membebani keuangan rumah tangga mereka,16 Sekitar 94% responden nyatakake yen biaya sertifikasi liwat PAP durung mbebayani finansial rumah tangga
PAP juga merupakan suatu tinjauan administrasi tanah dalam konteks hukum dan kebijakan,PAP uga minangka review babagan administrasi tanah miturut konteks hukum lan kawicaksanan
"Saat ini, PAP telah berjalan selama enam tahun","Saiki, PAP wis mlaku nganti enem taun"
Laporan penelitian ini mendokumentasikan hasil-hasil temuan penelitian IE-SLT tersebut,Laporan riset iki nyokumentasikaké temuan ing riset IE-SLT
IE-SLT memfokuskan pada pertanyaan-pertanyaan berikut,IE-SLT fokus ing pitakonan ing ngisor iki
Bagaimana pemilihan wilayah mempengaruhi target program,Carane ora seleksi regional nyedhiyakake target program
Apa manfaat dan kerugian program sertipikasi tanah bagi mereka yang ikut serta dalam program,Apa manfaat lan kerugian saka program sertifikasi tanah kanggo sing melu program kasebut
Apakah sertipikasi tanah secara sistematis telah meningkatkan kepastian kepemilikan tanah,Wis sertifikat tanah miturut aturan sistematis nambah kepastian kepemilikan tanah?
Apakah program ini telah mengembangkan pasar tanah,Wis program iki dikembangake pasar tanah
Apakah program ini telah memberikan insentif bagi investasi tanah,Wis program iki menehi insentif kanggo investasi tanah
Apakah program ini telah meningkatkan akses kepada kredit,Wis program iki tambah akses kanggo kredit
"Apakah program ini menyebabkan kenaikan biaya bagi pemilik tanah, seperti kenaikan biaya karena berbagai pajak dan pungutan","Apa program iki ningkatake biaya kanggo pemilik tanah, kayata tambah biaya amarga macem-macem pajak lan pungutan"
Apakah program ini memiliki dampak terhadap nilai tanah,Apa program iki duwe pengaruh marang nilai tanah
Sejauh mana nama prempuan secara formal dimasukkan dalam sertipikat PAP,Luwih sing jeneng wadon resmi disertakan ing sertifikat PAP
Apa yang terjadi dengan tanah yang diwarisi perempuan secara perorangan dari keluarga mereka,Apa sing kedaden ing tanah sing diwarisake dening wanita saben individu saka kulawargane
Apakah tanah tersebut tetap atas nama si perempuan ataukah dipindahkan ke nama suaminya,Tanah iki tetep atas jenenge wanita utawa ditransfer menyang jeneng bojone
Penelitian ini menggunakan survei kuantitatif disertai dengan wawancara mendalam,Panaliten iki nggunakake survey kuantitatif sing diiringi wawancara sing jero
Tahap persiapan dari penelitian yang dimulai pada awal Januari 2002 membutuhkan waktu satu bulan,Tahap prekara ing panaliten iki sing diwiwiti nalika awal Januari 2002 mundak akeh sasi
Kemudian kecamatan-kecamatan yang akan diteliti dipilih secara purposive,Banjur sub-distrik sing bakal sinau dipilih secara purposively
Desa-desa yang tercakup dalam Social Assessment 1999 sengaja tidak dipilih,Desa-desa sing dianut dening 1999 Social Assessment sing sengaja ora dipilih
"Sekitar 1.596 KK responden rumah tangga, dimana 508 diantaranya merupakan kelompok kontrol, dipilih secara acak","Sekitar 1.596 rumah tangga yaiku responden, ing ngendi 508 ing kelompok kontrol, dipilih kanthi acak"
